freq,unit,airpol,src_nfr,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,T,NOX,NFR2D3E,EU27_2020	: 	: 	: 	: 	: 	: 	1 	2 	1 	1 	1 	1 	2 	3 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,T,NOX,NFR2D3G,EU27_2020	14 	12 	25 	29 	11 	25 	25 	31 	42 	28 	55 	53 	45 	42 	36 	18 	14 	16 	16 	2 	14 	16 	2 	92 	103 	76 	27 	32 	33 	3 	2 	1 
A,T,NOX,NFR2D3H,EU27_2020	1 	1 	2 	2 	0 	3 	1 	1 	1 	3 	3 	2 	0 	34 	46 	27 	3 	2 	95 	9 	11 	13 	18 	13 	13 	8 	7 	11 	11 	4 	5 	3 
A,T,NOX,NFR2D3I,EU27_2020	52 	54 	46 	45 	49 	51 	52 	49 	43 	42 	43 	48 	46 	47 	45 	59 	56 	64 	59 	59 	42 	55 	55 	61 	59 	88 	114 	102 	104 	112 	115 	105 
A,T,NOX,NFR2G,EU27_2020	3491 	3528 	3568 	3473 	3412 	3376 	3457 	3388 	3339 	3575 	2908 	3080 	2959 	2904 	2822 	2683 	2616 	2489 	2471 	2496 	2416 	2373 	2198 	2120 	2083 	2120 	2037 	1964 	1935 	1926 	1641 	1693 
A,T,NOX,NFR2H1,EU27_2020	17958 	17434 	16515 	16538 	16873 	17262 	16884 	17763 	17110 	17446 	18142 	17971 	18495 	18697 	19327 	19891 	20416 	20652 	20033 	19601 	20440 	20717 	20945 	21330 	21116 	20777 	21046 	21590 	21652 	21365 	21133 	21707 
A,T,NOX,NFR2H2,EU27_2020	164 	185 	187 	191 	139 	95 	97 	130 	112 	98 	82 	126 	125 	89 	67 	84 	60 	88 	70 	57 	60 	72 	68 	89 	57 	46 	44 	42 	47 	40 	15 	16 
A,T,NOX,NFR2H3,EU27_2020	848 	0 	0 	0 	0 	0 	36 	1 	1 	1 	0 	0 	28 	1 	1 	22 	14 	10 	35 	20 	59 	45 	50 	55 	52 	51 	60 	66 	70 	96 	71 	38 
A,T,NOX,NFR2I,EU27_2020	312 	310 	310 	606 	608 	1617 	1655 	1162 	1698 	1344 	631 	889 	1047 	629 	818 	561 	394 	282 	556 	759 	799 	722 	690 	681 	1151 	620 	625 	682 	736 	861 	529 	618 
A,T,NOX,NFR2J,EU27_2020	: 	: 	: 	: 	: 	: 	39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,T,NOX,NFR2K,EU27_2020	: 	: 	: 	: 	: 	: 	38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,T,NOX,NFR2L,EU27_2020	2 	2 	0 	15 	5 	87 	103 	35 	58 	38 	33 	27 	68 	103 	259 	244 	235 	250 	255 	260 	91 	90 	89 	114 	117 	75 	74 	95 	74 	70 	43 	64 
A,T,NOX,NFR3B1A,EU27_2020	15569 	14438 	13352 	12810 	12557 	12367 	12128 	11869 	11771 	11346 	10938 	10909 	10639 	10427 	10068 	10115 	9897 	9774 	9592 	9314 	9198 	9048 	9017 	9030 	8902 	8984 	8946 	8940 	8823 	8705 	8705 	8562 
A,T,NOX,NFR3B1B,EU27_2020	13527 	13234 	12743 	12401 	12395 	12632 	12660 	12775 	12508 	12381 	12713 	12624 	12291 	12041 	12105 	12162 	12293 	12455 	12509 	12275 	11938 	11814 	11842 	11792 	11877 	12289 	12386 	12357 	12420 	12101 	11928 	11858 
A,T,NOX,NFR3B2,EU27_2020	1583 	1541 	1453 	1412 	1357 	1318 	1409 	1351 	1345 	1305 	1392 	1333 	1274 	1274 	1226 	1229 	1266 	1245 	1233 	1240 	1200 	1113 	1126 	1108 	1094 	1124 	1103 	1112 	1119 	1098 	1095 	1072 
A,T,NOX,NFR3B3,EU27_2020	5611 	5509 	5487 	5141 	5051 	5043 	4842 	4768 	4796 	4692 	4424 	4179 	4224 	4172 	3979 	4000 	3950 	3812 	3432 	3246 	3163 	3075 	2864 	2750 	2673 	2704 	2635 	2668 	2748 	2646 	2675 	2553 
A,T,NOX,NFR3B4A,EU27_2020	34 	29 	35 	34 	36 	48 	54 	51 	58 	63 	57 	68 	66 	72 	67 	63 	68 	81 	79 	85 	88 	80 	72 	77 	69 	64 	62 	65 	65 	64 	65 	65 
A,T,NOX,NFR3B4D,EU27_2020	330 	312 	300 	301 	313 	331 	357 	359 	360 	355 	413 	434 	457 	463 	442 	455 	496 	476 	484 	505 	557 	519 	524 	520 	528 	554 	601 	627 	666 	695 	720 	712 
A,T,NOX,NFR3B4E,EU27_2020	1122 	1157 	1140 	1130 	1043 	1066 	1047 	1049 	1054 	1056 	1071 	1075 	987 	998 	984 	989 	976 	1061 	1075 	1060 	1028 	1030 	1003 	1004 	987 	974 	965 	945 	957 	933 	937 	946 
A,T,NOX,NFR3B4F,EU27_2020	174 	167 	162 	154 	145 	136 	129 	127 	116 	104 	99 	92 	82 	71 	64 	57 	51 	47 	44 	40 	37 	36 	37 	35 	30 	28 	24 	20 	21 	23 	24 	21 
A,T,NOX,NFR3B4G1,EU27_2020	4045 	3980 	3758 	3593 	3676 	3693 	3757 	3718 	3740 	3788 	3786 	3899 	3888 	3798 	3917 	3955 	3884 	3840 	3915 	3930 	3931 	3812 	3824 	3924 	3859 	3968 	3951 	3995 	3976 	4030 	3990 	3996 
A,T,NOX,NFR3B4G2,EU27_2020	7332 	6682 	6251 	5836 	5889 	6186 	6259 	6185 	6282 	6205 	6093 	6260 	6210 	5835 	5689 	5650 	5408 	5562 	5570 	5737 	5564 	5631 	5512 	5596 	5687 	5869 	6062 	6160 	6256 	6353 	6375 	6400 
A,T,NOX,NFR3B4G3,EU27_2020	1276 	1296 	1314 	1360 	1481 	1499 	1355 	1401 	1458 	1404 	1517 	1498 	1410 	1208 	1188 	1158 	1156 	1229 	1099 	1055 	1065 	1084 	1108 	993 	1046 	1069 	1117 	1112 	1147 	1176 	1195 	1133 
A,T,NOX,NFR3B4G4,EU27_2020	1316 	1327 	1341 	1241 	1164 	1170 	985 	1138 	1221 	1202 	1147 	1233 	1224 	1110 	1073 	1064 	988 	1016 	943 	885 	920 	940 	890 	898 	849 	802 	780 	752 	838 	842 	776 	801 
