countries,Year,GDP [Euro],Population,GrDP (Territorial & Low GHG with VOLY) scenario [Euro],GrDP (Territorial & Low GHG with VSL) scenario [Euro],GrDP (Territorial & Central GHG with VOLY) scenario [Euro],GrDP (Territorial & Central GHG with VSL) scenario [Euro],GrDP (Territorial & High GHG with VOLY) scenario [Euro],GrDP (Territorial & High GHG with VSL) scenario [Euro],GrDP (Residential & Low GHG with VOLY) scenario [Euro],GrDP (Residential & Low GHG with VSL) scenario [Euro],GrDP (Residential & Central GHG with VOLY) scenario [Euro],GrDP (Residential & Central GHG with VSL) scenario [Euro],GrDP (Residential & High GHG with VOLY) scenario [Euro],GrDP (Residential & High GHG with VSL) scenario [Euro],GrDP (Footprint & Low GHG with VOLY) scenario [Euro],GrDP (Footprint & Low GHG with VSL) scenario [Euro],GrDP (Footprint & Central GHG with VOLY) scenario [Euro],GrDP (Footprint & Central GHG with VSL) scenario [Euro],GrDP (Footprint & High GHG with VOLY) scenario [Euro],GrDP (Footprint & High GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Low GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Low GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Central GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Central GHG with VSL) scenario [Euro],GrDP per capita (Territorial & High GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & High GHG with VSL) scenario [Euro],GrDP per capita (Residential & Low GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Low GHG with VSL) scenario [Euro],GrDP per capita (Residential & Central GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Central GHG with VSL) scenario [Euro],GrDP per capita (Residential & High GHG with VOLY) scenario [Euro],GrDP per capita (Residential & High GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Low GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Low GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Central GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Central GHG with VSL) scenario [Euro],GrDP per capita (Footprint & High GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & High GHG with VSL) scenario [Euro],GDP per capita [Euro]
Malta,2016,10541100000.0,450415.0,10259241812.0,10003804417.0,10181829092.0,9926391697.0,9409545052.0,9154107657.0,10244804126.57,9989366731.57,10157766282.95,9902328887.95,9289460176.36,9034022781.36,9752219726.57,9496782331.57,9336792282.95,9081354887.95,5192408976.360001,4936971581.360001,22777309396.889534,22210193747.98797,22605439632.339066,22038323983.437496,20890834124.085564,20323718475.184,22745255212.57063,22178139563.66906,22552015991.807556,21984900342.905987,20624224718.004505,20057109069.10294,21651631776.406204,21084516127.504635,20729310264.866844,20162194615.965275,11528055185.462297,10960939536.56073,23403.083822696844
Malta,2017,11936600000.0,460297.0,11642036739.0,11386149413.0,11556800259.0,11300912933.0,10706464899.0,10450577573.0,11627198287.89,11371310961.89,11532069507.15,11276182181.15,10583046670.72,10327159344.72,11171620087.89,10915732761.89,10772772507.15,10516885181.15,6793793070.719999,6537905744.719999,25292445397.21093,24736527531.137505,25107268261.578938,24551350395.505512,23259905884.678806,22703988018.605377,25260208708.486042,24704290842.412617,25053540447.037457,24497622580.96403,22991778505.443226,22435860639.369797,24270460350.360744,23714542484.28732,23403959850.16196,22848041984.088535,14759585812.46456,14203667946.391132,25932.387132655655
Malta,2018,13044000000.0,475701.0,12764462788.0,12538103637.0,12678857968.0,12452498817.0,11824847978.0,11598488827.0,12745783264.69,12519424113.69,12647725429.15,12421366278.15,11669481784.119999,11443122633.119999,12192384964.69,11966025813.69,11725394929.15,11499035778.15,7066613384.120001,6840254233.120001,26832953447.648838,26357110111.183285,26652998349.803764,26177155013.33821,24857732016.539803,24381888680.07425,26793686085.77657,26317842749.311016,26587552746.683315,26111709410.217762,24531127292.39585,24055283955.930298,25630353866.588467,25154510530.122913,24648665714.703144,24172822378.23759,14855157723.275757,14379314386.810204,27420.585619958754
Malta,2019,14296500000.0,493559.0,14002629459.0,13762994187.0,13912092579.0,13672457307.0,13008879419.0,12769244147.0,13981928391.69,13742293119.69,13877590800.15,13637955528.15,12836699113.119999,12597063841.119999,13468516191.69,13228880919.69,13021903800.15,12782268528.15,8566413513.120001,8326778241.120001,28370730670.497345,27885205592.441837,28187293877.732956,27701768799.677444,26357293492.773914,25871768414.718403,28328788233.402695,27843263155.347183,28117389815.908535,27631864737.853024,26008438936.621555,25522913858.566044,27288563660.453968,26803038582.398457,26383682194.327324,25898157116.271812,17356412329.873432,16870887251.81792,28966.141839172218
Malta,2020,13351500000.0,514564.0,13086073039.0,12835393929.0,12997027159.0,12746348049.0,12108688499.0,11858009389.0,13079531994.07,12828852884.07,12986125417.45,12735446307.45,12054283617.36,11803604507.36,12648391494.07,12397712384.07,12267557917.45,12016878807.45,8468289617.360001,8217610507.360001,25431380817.546505,24944212826.78151,25258329690.76733,24771161700.00233,23531938687.89888,23044770697.133884,25418668997.578533,24931501006.813534,25237143324.15404,24749975333.389046,23426208629.752567,22939040638.98757,24580793631.24898,24093625640.483982,23840684380.271454,23353516389.506454,16457213519.328987,15970045528.56399,25947.209676541694
Malta,2021,15323500000.0,516100.0,15064677436.0,14827775017.0,14975038516.0,14738136097.0,14080783576.0,13843881157.0,15058818127.93,14821915708.93,14965273002.55,14728370583.55,14032049013.64,13795146594.64,14515121827.93,14278219408.93,14059112502.55,13822210083.55,9509876613.64,9272974194.64,29189454439.0622,28730430182.135246,29015769261.770973,28556745004.84402,27283052850.222824,26824028593.29587,29178101391.067623,28719077134.14067,28996847515.11335,28537823258.186398,27188624324.045727,26729600067.118774,28124630552.08293,27665606295.15598,27241062783.472195,26782038526.545242,18426422425.188915,17967398168.261963,29690.95136601434
Netherlands,1990,,14892574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,1991,,15010445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,1992,,15129150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,1993,,15239182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
